"Date","Price","Open","High","Low","Change %"
"Apr 01, 2020","16,450.0","16,325.0","16,480.0","16,325.0","0.86%"
"Mar 31, 2020","16,310.0","16,325.0","16,392.5","16,300.0","-0.17%"
"Mar 30, 2020","16,337.5","16,155.0","16,416.0","16,155.0","1.22%"
"Mar 27, 2020","16,140.0","16,105.0","16,265.0","16,060.0","-1.01%"
"Mar 26, 2020","16,305.0","16,205.0","16,360.0","16,205.0","-1.18%"
"Mar 24, 2020","16,500.0","16,505.0","16,525.0","16,472.5","-0.45%"
"Mar 23, 2020","16,575.0","15,975.0","16,640.0","15,975.0","4.08%"
"Mar 20, 2020","15,925.0","15,962.5","16,225.0","15,925.0","0.08%"
"Mar 19, 2020","15,912.5","15,287.5","15,912.5","15,287.5","4.57%"
"Mar 18, 2020","15,217.5","15,097.5","15,232.5","15,097.5","0.31%"
"Mar 17, 2020","15,170.0","14,940.0","15,170.0","14,940.0","1.64%"
"Mar 16, 2020","14,925.0","14,725.0","15,002.0","14,725.0","1.05%"
"Mar 13, 2020","14,770.0","14,610.0","14,865.0","14,610.0","1.71%"
"Mar 12, 2020","14,521.5","14,366.5","14,521.5","14,366.5","1.18%"
"Mar 11, 2020","14,352.5","14,302.5","14,392.5","14,292.5","0.05%"
"Mar 10, 2020","14,346.0","14,391.0","14,416.0","14,281.0","-0.32%"
"Mar 09, 2020","14,392.5","14,247.5","14,392.5","14,247.5","1.14%"
"Mar 06, 2020","14,230.0","14,190.0","14,295.0","14,190.0","0.42%"
"Mar 05, 2020","14,170.0","14,120.0","14,190.0","14,120.0","0.39%"
"Mar 04, 2020","14,115.0","14,255.0","14,255.0","14,095.0","-1.17%"
"Mar 03, 2020","14,281.5","14,196.5","14,286.5","14,196.5","0.12%"
"Mar 02, 2020","14,265.0","14,355.0","14,420.0","14,225.0","-0.58%"
"Feb 28, 2020","14,347.5","14,057.5","14,347.5","14,057.5","2.23%"
"Feb 27, 2020","14,035.0","13,935.0","14,035.0","13,935.0","0.74%"
"Feb 26, 2020","13,932.5","13,887.5","13,947.5","13,887.5","0.36%"
"Feb 25, 2020","13,882.5","13,872.5","13,912.5","13,872.5","0.09%"
"Feb 24, 2020","13,870.0","13,775.0","13,895.0","13,775.0","0.76%"
"Feb 21, 2020","13,765.0","13,720.0","13,765.0","13,720.0","0.42%"
"Feb 20, 2020","13,707.5","13,697.5","13,777.5","13,697.5","0.15%"
"Feb 19, 2020","13,687.5","13,697.5","13,722.5","13,687.5","0.16%"
"Feb 18, 2020","13,665.0","13,655.0","13,695.0","13,655.0","0.09%"
"Feb 17, 2020","13,652.5","13,672.5","13,692.5","13,651.5","-0.16%"
"Feb 14, 2020","13,675.0","13,685.0","13,715.0","13,675.0","-0.04%"
"Feb 13, 2020","13,680.0","13,660.0","13,715.0","13,660.0","0.15%"
"Feb 12, 2020","13,660.0","13,645.0","13,680.0","13,645.0","-0.04%"
"Feb 11, 2020","13,665.0","13,695.0","13,695.0","13,665.0","-0.22%"
"Feb 10, 2020","13,695.0","13,675.0","13,730.0","13,675.0","0.15%"
"Feb 07, 2020","13,675.0","13,620.0","13,680.0","13,620.0","0.40%"
"Feb 06, 2020","13,620.0","13,645.0","13,675.0","13,595.0","-0.40%"
"Feb 05, 2020","13,675.0","13,695.0","13,735.0","13,675.0","-0.26%"
"Feb 04, 2020","13,710.0","13,745.0","13,770.0","13,695.0","-0.24%"
"Feb 03, 2020","13,742.5","13,662.5","13,742.5","13,662.5","0.64%"
"Jan 31, 2020","13,655.0","13,645.0","13,663.0","13,645.0","0.07%"
"Jan 30, 2020","13,645.0","13,635.0","13,672.0","13,630.0","0.13%"
"Jan 29, 2020","13,627.5","13,622.5","13,649.5","13,622.5","-0.07%"
"Jan 28, 2020","13,637.5","13,617.5","13,660.5","13,617.5","0.24%"
"Jan 27, 2020","13,605.0","13,575.0","13,625.0","13,575.0","0.24%"
"Jan 24, 2020","13,572.5","13,637.5","13,645.5","13,572.5","-0.42%"
"Jan 23, 2020","13,630.0","13,640.0","13,650.0","13,605.0","-0.11%"
"Jan 22, 2020","13,644.5","13,664.5","13,689.5","13,624.5","-0.10%"
"Jan 21, 2020","13,657.5","13,637.5","13,677.5","13,632.5","0.18%"
"Jan 20, 2020","13,632.5","13,642.5","13,660.5","13,632.5","-0.04%"
"Jan 17, 2020","13,637.5","13,647.5","13,667.5","13,632.5","0.06%"
"Jan 16, 2020","13,630.0","13,680.0","13,680.0","13,620.0","-0.26%"
"Jan 15, 2020","13,665.0","13,675.0","13,730.0","13,665.0","-0.04%"
"Jan 14, 2020","13,670.0","13,655.0","13,695.0","13,635.0","0.01%"
"Jan 13, 2020","13,668.0","13,733.0","13,743.0","13,668.0","-0.69%"
"Jan 10, 2020","13,762.5","13,857.5","13,860.5","13,747.5","-0.63%"
"Jan 09, 2020","13,850.0","13,855.0","13,870.0","13,835.0","-0.31%"
"Jan 08, 2020","13,892.5","13,907.5","13,942.5","13,892.5","0.13%"
"Jan 07, 2020","13,875.0","13,935.0","13,935.0","13,875.0","-0.47%"
